City Name,Temperature (F),Humidity %,Cloud Coverage %,Wind Speed (mph),City Latitude,City Longitude,City Country,City Local Date_Time,Random_Latitude,Random_Longitude
Piranshahr,37.62,77,12,5.21,36.701,45.1413,ir,"Sun, 07 Feb 2021 22:43:43",36.66,45.01
Miquelon,32.0,64,75,35.68,47.0975,-56.3814,pm,"Sun, 07 Feb 2021 16:13:44",47.92,-56.77
Panguna,69.44,95,69,0.47,-6.3164,155.4848,pg,"Mon, 08 Feb 2021 06:05:59",-6.95,154.3
Carnarvon,77.0,100,40,12.66,-24.8667,113.6333,au,"Mon, 08 Feb 2021 03:11:07",-21.49,102.88
Busselton,63.0,99,98,1.01,-33.65,115.3333,au,"Mon, 08 Feb 2021 03:12:15",-84.15,80.38
Poum,80.01,72,100,7.58,-20.2333,164.0167,nc,"Mon, 08 Feb 2021 06:13:44",-16.87,163.34
Thap Than,78.01,66,0,4.03,15.4606,99.8917,th,"Mon, 08 Feb 2021 02:13:44",15.26,99.37
Rocha,75.7,64,37,13.06,-34.4833,-54.3333,uy,"Sun, 07 Feb 2021 16:04:40",-48.82,-40.98
Kousséri,77.0,18,1,3.44,12.0769,15.0306,cm,"Sun, 07 Feb 2021 20:13:45",11.69,15.21
Nelson Bay,69.8,78,75,11.5,-32.7167,152.15,au,"Mon, 08 Feb 2021 06:13:45",-33.8,153.49
Mar del Plata,59.0,94,90,9.22,-38.0023,-57.5575,ar,"Sun, 07 Feb 2021 16:13:45",-57.56,-45.16
Saint Anthony,-4.0,54,1,5.86,45.0205,-93.218,ca,"Sun, 07 Feb 2021 13:13:25",51.86,-52.79
Castelbuono,57.99,82,90,5.88,37.932,14.0886,it,"Sun, 07 Feb 2021 20:13:45",37.81,14.03
Palafrugell,51.01,24,100,6.38,41.9174,3.1631,es,"Sun, 07 Feb 2021 20:13:46",41.83,4.38
Maxixe,82.4,69,20,7.27,-23.8597,35.3472,mz,"Sun, 07 Feb 2021 21:13:46",-24.19,34.78
Nanortalik,30.79,88,100,13.13,60.1432,-45.2371,gl,"Sun, 07 Feb 2021 16:13:46",50.65,-40.39
Nikolskoye,17.6,86,90,11.18,59.7035,30.7861,ru,"Sun, 07 Feb 2021 22:13:46",34.26,178.89
Butaritari,80.87,80,100,20.38,3.0707,172.7902,ki,"Mon, 08 Feb 2021 07:13:21",22.67,170.17
Comodoro Rivadavia,64.4,59,20,18.41,-45.8667,-67.5,ar,"Sun, 07 Feb 2021 16:13:32",-46.42,-68.79
Ahipara,61.61,83,17,8.16,-35.1667,173.1667,nz,"Mon, 08 Feb 2021 08:04:12",-35.43,172.72
Jamestown,18.0,73,90,17.27,42.097,-79.2353,sh,"Sun, 07 Feb 2021 14:12:36",-20.22,-4.36
Katsuura,46.4,46,75,3.44,35.1333,140.3,jp,"Mon, 08 Feb 2021 04:13:47",18.86,151.53
Hong Kong,68.0,84,0,11.07,22.2855,114.1577,sc,"Mon, 08 Feb 2021 03:01:05",-6.35,61.24
Abhā,55.4,62,0,7.56,18.2164,42.5053,sa,"Sun, 07 Feb 2021 22:06:48",21.03,43.0
Hermanus,66.99,76,2,1.01,-34.4187,19.2345,za,"Sun, 07 Feb 2021 21:13:47",-52.68,10.85
Nhulunbuy,80.6,83,75,6.91,-12.2333,136.7667,au,"Mon, 08 Feb 2021 04:43:47",-12.94,140.33
Hilo,75.0,49,20,4.61,19.7297,-155.09,us,"Sun, 07 Feb 2021 09:13:01",15.09,-154.36
North Bend,48.2,71,20,6.91,43.4065,-124.2243,us,"Sun, 07 Feb 2021 11:09:17",43.23,-132.04
Toccoa,53.6,47,1,4.61,34.5773,-83.3324,us,"Sun, 07 Feb 2021 14:13:48",34.59,-83.45
Mizdah,66.0,26,87,12.8,31.4451,12.9801,ly,"Sun, 07 Feb 2021 21:13:48",29.56,13.69
Lerwick,33.8,60,75,6.91,60.1545,-1.1494,gb,"Sun, 07 Feb 2021 19:09:08",60.0,1.65
Punta Arenas,69.8,23,0,14.97,-53.15,-70.9167,cl,"Sun, 07 Feb 2021 16:12:30",-85.24,-119.92
Belle Fourche,3.0,77,90,6.91,44.6714,-103.8522,us,"Sun, 07 Feb 2021 12:13:49",45.5,-104.57
Bengkulu,75.7,85,100,6.53,-3.8004,102.2655,id,"Mon, 08 Feb 2021 02:13:49",-11.48,95.91
Lebu,63.72,75,11,8.66,-37.6167,-73.65,cl,"Sun, 07 Feb 2021 16:13:49",-36.91,-104.27
Iqaluit,26.6,68,75,19.57,63.7506,-68.5145,ca,"Sun, 07 Feb 2021 14:05:19",57.75,-70.31
Carhuamayo,50.0,75,100,5.48,-10.9167,-76.0333,pe,"Sun, 07 Feb 2021 14:13:49",-10.9,-75.84
Rovaniemi,12.2,92,0,11.5,66.5,25.7167,fi,"Sun, 07 Feb 2021 21:13:49",66.3,26.08
Kyshtovka,7.88,92,100,17.36,56.555,76.6271,ru,"Mon, 08 Feb 2021 02:13:50",57.4,76.42
Chennai,73.4,83,99,4.61,13.0878,80.2785,in,"Mon, 08 Feb 2021 00:43:50",12.65,81.19
Cabra,48.0,77,91,10.04,37.4725,-4.4421,ph,"Sun, 07 Feb 2021 20:13:50",13.98,118.75
Isangel,77.54,79,9,5.75,-19.55,169.2667,vu,"Mon, 08 Feb 2021 06:05:37",-19.49,175.8
Vodnyy,-23.3,85,100,10.13,63.5046,53.4095,ru,"Sun, 07 Feb 2021 22:13:50",63.65,53.19
Novo Aripuanã,83.75,84,99,1.88,-5.1206,-60.3797,br,"Sun, 07 Feb 2021 15:13:50",-5.11,-59.93
Sinnamary,78.62,85,100,14.12,5.3833,-52.95,gf,"Sun, 07 Feb 2021 16:13:50",10.7,-49.45
Port Alfred,66.0,95,100,8.48,-33.5906,26.891,za,"Sun, 07 Feb 2021 21:13:50",-60.35,42.09
Saint-François,39.99,87,75,3.44,46.4154,3.9054,gp,"Sun, 07 Feb 2021 20:08:43",17.23,-57.58
Ati,72.97,18,0,8.41,13.2154,18.3353,td,"Sun, 07 Feb 2021 20:13:51",13.78,18.44
Mbekenyera,73.24,96,63,4.99,-10.0,38.9833,tz,"Sun, 07 Feb 2021 22:13:51",-9.45,39.1
Kaitangata,56.59,86,100,2.75,-46.2817,169.8464,nz,"Mon, 08 Feb 2021 08:13:51",-56.93,176.66
Cidreira,75.87,62,0,10.27,-30.1811,-50.2056,br,"Sun, 07 Feb 2021 16:04:54",-59.84,-19.38
Alofi,78.8,94,100,5.75,-19.0595,-169.9187,nu,"Sun, 07 Feb 2021 07:59:33",-17.86,-166.65
Eyl,75.78,79,0,18.54,7.9803,49.8164,so,"Sun, 07 Feb 2021 22:13:51",5.29,55.39
Tiksi,-28.01,84,24,3.91,71.6872,128.8694,ru,"Mon, 08 Feb 2021 04:06:04",71.63,127.25
Hobart,53.6,58,40,11.5,-42.8794,147.3294,au,"Mon, 08 Feb 2021 06:13:52",-64.74,153.75
Venado Tuerto,91.0,52,0,4.0,-33.7456,-61.9688,ar,"Sun, 07 Feb 2021 16:13:52",-33.24,-62.32
Ancud,82.4,34,0,8.05,-41.8697,-73.8203,cl,"Sun, 07 Feb 2021 16:13:52",-41.0,-87.25
Biltine,72.45,18,0,10.36,14.5333,20.9167,td,"Sun, 07 Feb 2021 20:05:12",14.78,20.29
Tuatapere,57.31,72,100,5.64,-46.1333,167.6833,nz,"Mon, 08 Feb 2021 08:06:37",-54.98,157.08
Pochutla,84.99,69,75,9.22,15.7432,-96.4661,mx,"Sun, 07 Feb 2021 13:13:52",6.17,-97.23
Pisco,73.4,83,0,9.22,-13.7,-76.2167,pe,"Sun, 07 Feb 2021 14:09:23",-22.26,-87.15
Cayenne,82.4,78,90,18.41,4.9333,-52.3333,gf,"Sun, 07 Feb 2021 16:13:53",13.56,-45.37
Saldanha,64.4,68,0,17.27,-33.0117,17.9442,za,"Sun, 07 Feb 2021 21:13:53",-31.63,15.9
George Town,80.6,83,20,4.03,5.4112,100.3354,sh,"Mon, 08 Feb 2021 03:10:09",-8.97,-14.47
Beringovskiy,-1.44,89,100,14.85,63.05,179.3167,ru,"Mon, 08 Feb 2021 07:13:53",50.95,179.96
Pasinler,23.0,93,0,2.3,39.9803,41.6764,tr,"Sun, 07 Feb 2021 22:13:53",39.66,41.95
Nome,-6.0,77,1,5.82,64.5011,-165.4064,us,"Sun, 07 Feb 2021 10:05:21",69.18,-164.01
Bethel,28.99,86,90,4.61,41.3712,-73.414,us,"Sun, 07 Feb 2021 14:13:54",46.53,-167.61
Castro,76.24,47,0,3.47,-24.7911,-50.0119,cl,"Sun, 07 Feb 2021 16:13:54",-44.69,-98.0
Matara,75.47,87,7,5.19,5.9485,80.5353,lk,"Mon, 08 Feb 2021 00:43:54",0.73,80.7
Yarmouth,34.0,93,90,10.36,41.7057,-70.2286,ca,"Sun, 07 Feb 2021 14:13:54",41.42,-67.17
Chui,75.25,62,1,9.93,-33.6971,-53.4616,uy,"Sun, 07 Feb 2021 16:13:54",-60.76,-26.96
Tasiilaq,23.0,54,0,4.61,65.6145,-37.6368,gl,"Sun, 07 Feb 2021 16:13:55",53.62,-32.07
Mwinilunga,65.34,96,100,4.45,-11.7358,24.4293,zm,"Sun, 07 Feb 2021 21:05:39",-11.89,25.11
Tessalit,68.67,23,100,11.34,20.1986,1.0114,ml,"Sun, 07 Feb 2021 19:13:55",20.41,0.37
Tautira,84.2,61,75,4.61,-17.7333,-149.15,pf,"Sun, 07 Feb 2021 09:05:07",-18.09,-148.42
Wilmington,48.99,71,75,14.97,34.2257,-77.9447,us,"Sun, 07 Feb 2021 14:13:32",30.81,-75.5
Dourbali,77.86,16,62,8.97,11.8091,15.8632,td,"Sun, 07 Feb 2021 20:13:55",12.17,15.76
Kavaratti,80.94,69,46,8.66,10.5669,72.642,in,"Mon, 08 Feb 2021 00:35:26",8.16,63.54
Esperance,62.6,88,75,11.5,-33.8667,121.9,au,"Mon, 08 Feb 2021 03:03:59",-35.88,124.59
Constitución,66.72,67,3,8.59,-35.3333,-72.4167,cl,"Sun, 07 Feb 2021 16:13:56",-32.24,-77.91
Dikson,-32.1,85,59,12.75,73.5069,80.5464,ru,"Mon, 08 Feb 2021 02:13:44",72.21,77.95
Rādhanpur,61.25,32,0,5.95,23.8333,71.6,in,"Mon, 08 Feb 2021 00:43:56",24.02,71.64
Qaanaaq,12.2,86,74,5.61,77.484,-69.3632,gl,"Sun, 07 Feb 2021 15:13:56",78.77,-72.0
Tuktoyaktuk,-25.6,75,75,19.57,69.4541,-133.0374,ca,"Sun, 07 Feb 2021 12:13:56",81.76,-120.76
Vestmannaeyjar,35.6,87,40,26.46,63.4427,-20.2734,is,"Sun, 07 Feb 2021 19:05:28",55.83,-22.07
Linxia Chengguanzhen,30.47,75,0,1.7,35.6003,103.2064,cn,"Mon, 08 Feb 2021 03:13:57",35.28,103.71
Mastic Beach,32.0,100,100,4.0,40.7668,-72.8521,us,"Sun, 07 Feb 2021 14:13:57",40.16,-72.03
Hue,73.4,83,75,5.75,16.4667,107.6,vn,"Mon, 08 Feb 2021 02:13:03",16.64,107.13
New Norfolk,53.6,58,40,11.5,-42.7826,147.0587,au,"Mon, 08 Feb 2021 06:13:57",-48.61,139.79
Rapid Valley,3.0,71,90,9.22,44.0625,-103.1463,us,"Sun, 07 Feb 2021 12:13:57",43.76,-102.61
Dogbo,83.68,68,100,9.82,6.8167,1.7833,bj,"Sun, 07 Feb 2021 20:13:57",6.82,1.97
Villazón,64.81,46,70,12.41,-22.0866,-65.5942,bo,"Sun, 07 Feb 2021 15:13:58",-22.3,-66.72
Muisne,84.2,84,75,6.91,0.6,-80.0333,ec,"Sun, 07 Feb 2021 14:13:58",3.31,-82.74
Yangambi,72.73,41,88,1.39,0.8102,24.4336,cd,"Sun, 07 Feb 2021 21:09:21",-0.47,23.9
Batu,77.0,94,20,6.91,-7.87,112.5283,id,"Mon, 08 Feb 2021 02:13:58",-7.8,112.55
Whitianga,63.0,90,17,5.14,-36.8333,175.7,nz,"Mon, 08 Feb 2021 08:13:58",-34.96,177.41
Shimoda,37.99,55,0,21.52,34.6667,138.95,jp,"Mon, 08 Feb 2021 04:13:58",26.96,141.65
Bismarck,-5.8,59,90,6.91,46.8083,-100.7837,us,"Sun, 07 Feb 2021 13:13:58",47.61,-100.18
Henties Bay,64.99,86,77,3.0,-22.116,14.2845,na,"Sun, 07 Feb 2021 21:13:59",-22.89,6.15
Avarua,82.4,78,40,11.5,-21.2078,-159.775,ck,"Sun, 07 Feb 2021 09:13:59",-54.57,-164.18
Longyearbyen,15.8,67,75,21.85,78.2186,15.6401,sj,"Sun, 07 Feb 2021 20:13:59",88.67,14.25
Don Luan,72.64,88,3,1.92,11.5333,106.9167,vn,"Mon, 08 Feb 2021 02:13:59",11.99,106.5
Berlevåg,24.8,74,75,23.02,70.8578,29.0864,no,"Sun, 07 Feb 2021 20:14:00",83.14,32.13
Bagdarin,-6.23,86,100,0.89,54.4333,113.6,ru,"Mon, 08 Feb 2021 03:13:20",54.93,114.61
Awjilah,67.78,25,99,14.18,29.1081,21.2869,ly,"Sun, 07 Feb 2021 21:14:00",24.75,19.75
Torbay,33.01,55,20,27.63,47.6666,-52.7314,ca,"Sun, 07 Feb 2021 15:33:47",35.3,-46.37
Evensk,18.18,84,100,33.38,61.95,159.2333,ru,"Mon, 08 Feb 2021 06:07:34",61.25,158.76
Lučani,53.6,35,0,6.91,43.8608,20.1381,rs,"Sun, 07 Feb 2021 20:14:00",44.0,20.1
Ust'-Koksa,19.31,89,48,2.98,50.2696,85.6108,ru,"Mon, 08 Feb 2021 02:08:13",49.54,85.58
Greece,26.01,58,75,16.11,43.2098,-77.6931,us,"Sun, 07 Feb 2021 14:14:01",43.36,-77.71
Tarancón,44.01,9,100,41.0,40.0085,-3.0073,es,"Sun, 07 Feb 2021 20:14:01",40.19,-2.89
Meulaboh,77.4,85,79,4.18,4.1363,96.1285,id,"Mon, 08 Feb 2021 02:13:11",-3.31,89.44
Nabire,76.1,79,69,3.29,-3.3667,135.4833,id,"Mon, 08 Feb 2021 04:14:01",-5.02,137.55
Namatanai,80.15,80,100,4.63,-3.6667,152.4333,pg,"Mon, 08 Feb 2021 05:14:01",-1.26,154.41
Mbandaka,79.09,61,3,2.57,0.0487,18.2603,cd,"Sun, 07 Feb 2021 20:14:02",0.37,19.49
Thio,69.8,100,0,0.72,-21.6167,166.2167,nc,"Mon, 08 Feb 2021 06:14:02",-21.56,166.09
Caravelas,79.97,85,100,10.13,-17.7125,-39.2481,br,"Sun, 07 Feb 2021 16:02:39",-21.94,-24.53
Araouane,67.98,23,0,8.75,18.9048,-3.5265,ml,"Sun, 07 Feb 2021 19:14:02",19.42,-3.67
Dukat,3.61,87,100,13.73,62.55,155.55,ru,"Mon, 08 Feb 2021 06:14:02",63.33,155.22
Agnibilékrou,83.75,57,24,3.85,7.1344,-3.2047,ci,"Sun, 07 Feb 2021 19:14:02",7.28,-3.21
Aksu,30.65,82,85,1.74,41.1231,80.2644,cn,"Mon, 08 Feb 2021 03:09:34",38.63,81.95
Whyalla,62.6,77,0,9.22,-33.0333,137.5833,au,"Mon, 08 Feb 2021 05:44:03",-33.53,136.94
Kondoa,64.18,94,100,3.4,-4.9,35.7833,tz,"Sun, 07 Feb 2021 22:14:03",-4.96,36.03
Faanui,80.96,76,5,11.86,-16.4833,-151.75,pf,"Sun, 07 Feb 2021 09:13:56",-9.98,-159.99
Malko Tarnovo,48.2,100,90,12.66,41.9833,27.5333,bg,"Sun, 07 Feb 2021 21:14:03",41.92,27.44
Dingle,75.52,91,100,9.28,10.9995,122.6711,ie,"Mon, 08 Feb 2021 03:14:03",51.48,-17.2
Óbidos,90.1,49,100,4.79,-1.9175,-55.5181,br,"Sun, 07 Feb 2021 16:14:03",-1.83,-55.55
Bone,21.0,89,100,7.0,51.9669,12.1396,id,"Sun, 07 Feb 2021 20:14:04",-4.16,121.06
Mahabalipuram,73.4,83,99,4.61,12.6264,80.1722,in,"Mon, 08 Feb 2021 00:42:13",11.5,82.63
Gobabis,74.37,61,6,14.5,-22.45,18.9667,na,"Sun, 07 Feb 2021 21:14:04",-22.44,20.2
Río Gallegos,69.8,37,0,19.57,-51.6226,-69.2181,ar,"Sun, 07 Feb 2021 16:14:04",-51.32,-66.83
Lagoa,57.76,74,100,20.76,39.05,-27.9833,pt,"Sun, 07 Feb 2021 18:14:04",40.97,-27.16
São José da Coroa Grande,82.27,72,60,12.46,-8.8978,-35.1478,br,"Sun, 07 Feb 2021 16:14:05",-14.08,-25.51
Manado,75.2,100,40,2.3,1.487,124.8455,id,"Mon, 08 Feb 2021 03:13:42",2.94,123.15
Karratha,78.24,71,0,9.57,-20.7377,116.8463,au,"Mon, 08 Feb 2021 03:14:05",-20.57,116.02
Kibaya,62.13,99,100,2.35,-5.3,36.5667,tz,"Sun, 07 Feb 2021 22:14:05",-5.5,36.34
St. George's,84.2,65,20,23.02,12.0564,-61.7485,gf,"Sun, 07 Feb 2021 15:14:05",4.11,-51.63
East Stroudsburg,34.0,85,100,1.01,40.9995,-75.1813,us,"Sun, 07 Feb 2021 14:14:06",41.04,-75.1
Waipawa,64.4,82,75,17.27,-41.4122,175.5153,nz,"Mon, 08 Feb 2021 08:14:06",-42.43,175.58
Camopi,73.8,97,100,4.27,3.1655,-52.3158,gf,"Sun, 07 Feb 2021 16:14:06",1.51,-54.22
Muromtsevo,6.69,92,100,15.03,56.3724,75.2418,ru,"Mon, 08 Feb 2021 01:14:06",56.64,75.39
Petropavlovsk-Kamchatskiy,19.4,93,100,6.71,53.0452,158.6483,ru,"Mon, 08 Feb 2021 07:14:07",50.4,162.21
Shirokiy,-18.92,87,0,8.48,49.758,129.523,ru,"Mon, 08 Feb 2021 04:14:07",63.73,148.41
San Felipe,84.33,59,100,6.82,10.3399,-68.7425,mx,"Sun, 07 Feb 2021 15:14:07",31.32,-114.94
Mahébourg,80.6,78,75,10.36,-20.4081,57.7,mu,"Sun, 07 Feb 2021 23:06:31",-48.0,78.99
Fortuna,53.01,87,90,4.61,40.5982,-124.1573,us,"Sun, 07 Feb 2021 11:14:07",35.9,-141.89
Lubao,78.8,78,40,2.3,14.9167,120.55,cd,"Mon, 08 Feb 2021 03:14:08",-4.48,25.26
Clovis,59.0,58,1,1.59,36.8252,-119.7029,us,"Sun, 07 Feb 2021 11:12:22",34.57,-103.24
Cabo San Lucas,75.0,68,40,6.91,22.8909,-109.9124,mx,"Sun, 07 Feb 2021 12:09:14",9.53,-118.36
Cherskiy,-4.32,70,12,1.23,68.75,161.3,ru,"Mon, 08 Feb 2021 06:14:08",81.62,160.83
Bambous Virieux,80.6,78,75,10.36,-20.3428,57.7575,mu,"Sun, 07 Feb 2021 23:14:08",-24.48,62.71
Severo-Kuril'sk,19.06,89,95,14.41,50.6789,156.125,ru,"Mon, 08 Feb 2021 06:05:30",37.54,161.49
Tarumovka,27.82,97,100,7.74,44.0761,46.5361,ru,"Sun, 07 Feb 2021 22:14:09",44.18,46.34
"Leibnitz, Styria",46.99,86,100,5.59,46.7816,15.5384,at,"Sun, 07 Feb 2021 20:14:09",46.83,15.5
Bereda,46.99,98,100,14.0,43.2686,-7.5406,so,"Sun, 07 Feb 2021 20:14:09",14.46,51.09
Kalangala,75.2,73,97,4.59,-0.3089,32.225,ug,"Sun, 07 Feb 2021 22:14:09",-0.66,33.18
Coyhaique,77.0,29,0,5.75,-45.5752,-72.0662,cl,"Sun, 07 Feb 2021 16:14:09",-50.07,-82.52
Visnes,25.0,58,0,8.05,59.3556,5.2242,no,"Sun, 07 Feb 2021 20:14:09",58.05,3.24
Nyurba,-3.68,88,100,7.25,63.2842,118.3319,ru,"Mon, 08 Feb 2021 04:14:10",67.18,117.62
Dera Bugti,61.12,29,0,2.98,29.0307,69.151,pk,"Mon, 08 Feb 2021 00:14:10",29.32,69.38
Nizwá,56.93,64,0,3.76,22.9333,57.5333,om,"Sun, 07 Feb 2021 23:14:10",20.96,56.96
Jumla,35.47,58,0,6.2,29.2747,82.1838,np,"Mon, 08 Feb 2021 00:59:10",31.28,83.83
Esperanza,89.01,49,0,11.01,19.5847,-70.9849,ph,"Sun, 07 Feb 2021 15:14:10",10.72,124.46
São Lourenço da Mata,82.4,65,40,9.22,-8.0022,-35.0183,br,"Sun, 07 Feb 2021 16:14:10",-8.04,-35.08
Oyama,48.0,59,20,1.14,36.3,139.8,jp,"Mon, 08 Feb 2021 04:14:11",30.62,138.94
Trairi,86.34,60,2,13.78,-3.2778,-39.2689,br,"Sun, 07 Feb 2021 16:14:11",2.97,-35.87
Emerald,78.8,89,40,4.61,-23.5333,148.1667,au,"Mon, 08 Feb 2021 05:07:55",-24.34,143.49
Labuhan,78.93,84,100,10.87,-6.8844,112.2051,id,"Mon, 08 Feb 2021 02:07:59",-12.93,98.81
Verkhnyaya Salda,-2.52,91,100,11.32,58.0456,60.5533,ru,"Mon, 08 Feb 2021 00:14:11",58.17,60.62
